state,date,hospitalized_with_symptoms,intensive_care,total_hospitalised,home_isolation,total_currently_positive,new_currently_positive,discharged_recovered,deseased,total_cases,total_tested
ITA,2020-02-24T18:00:00,101,26,127,94,,,1,7,229,4324
ITA,2020-02-25T18:00:00,114,35,150,162,,,1,10,322,8623
ITA,2020-02-26T18:00:00,128,36,164,221,,,3,12,400,9587
ITA,2020-02-27T18:00:00,248,56,304,284,,,45,17,650,12014
ITA,2020-02-28T18:00:00,345,64,409,412,,,46,21,888,15695
ITA,2020-02-29T18:00:00,401,105,506,543,,,50,29,1128,18661
ITA,2020-03-01T18:00:00,639,140,779,798,,,83,34,1694,21127
ITA,2020-03-02T18:00:00,742,166,908,927,,,149,52,2036,23345
ITA,2020-03-03T18:00:00,1034,229,1263,1000,,,160,79,2502,25856
ITA,2020-03-04T18:00:00,1346,295,1641,1065,,,276,107,3089,29837
ITA,2020-03-05T18:00:00,1790,351,2141,1155,,,414,148,3858,32362
ITA,2020-03-06T18:00:00,2394,462,2856,1060,,,523,197,4636,36359
ITA,2020-03-07T18:00:00,2651,567,3218,1843,,,589,233,5883,42062
ITA,2020-03-08T18:00:00,3557,650,4207,2180,,,622,366,7375,49937
ITA,2020-03-09T18:00:00,4316,733,5049,2936,,,724,463,9172,53826
ITA,2020-03-10T18:00:00,5038,877,5915,2599,,,1004,631,10149,60761
ITA,2020-03-11T17:00:00,5838,1028,6866,3724,,,1045,827,12462,73154
ITA,2020-03-12T17:00:00,6650,1153,7803,5036,,,1258,1016,15113,86011
ITA,2020-03-13T17:00:00,7426,1328,8754,6201,,,1439,1266,17660,97488
ITA,2020-03-14T17:00:00,8372,1518,9890,7860,,,1966,1441,21157,109170
ITA,2020-03-15T17:00:00,9663,1672,11335,9268,,,2335,1809,24747,124899
ITA,2020-03-16T17:00:00,11025,1851,12876,10197,,,2749,2158,27980,137962
ITA,2020-03-17T17:00:00,12894,2060,14954,11108,,,2941,2503,31506,148657
ITA,2020-03-18T17:00:00,14363,2257,16620,12090,,,4025,2978,35713,165541
ITA,2020-03-19T17:00:00,15757,2498,18255,14935,,,4440,3405,41035,182777
ITA,2020-03-20T17:00:00,16020,2655,18675,19185,,,5129,4032,47021,206886
ITA,2020-03-21T17:00:00,17708,2857,20565,22116,,,6072,4825,53578,233222
ITA,2020-03-22T17:00:00,19846,3009,22855,23783,,,7024,5476,59138,258402
ITA,2020-03-23T17:00:00,20692,3204,23896,26522,,,7432,6077,63927,275468
ITA,2020-03-24T17:00:00,21937,3396,25333,28697,,,8326,6820,69176,296964
ITA,2020-03-25T17:00:00,23112,3489,26601,30920,,,9362,7503,74386,324445
ITA,2020-03-26T17:00:00,24753,3612,28365,33648,,,10361,8165,80539,361060
ITA,2020-03-27T17:00:00,26029,3732,29761,36653,,,10950,9134,86498,394079
ITA,2020-03-28T17:00:00,26676,3856,30532,39533,,,12384,10023,92472,429526
